LOCATION,Country,FREQUENCY,CPI Index,TIME,1Y Inflation,5Y Inflation,20Y Inflation
GRC,Greece,M,53.9233,1994-11-30,0.10226635560346109,0.1577750101144244,0.17221511378485
GRC,Greece,M,54.65799,1994-12-31,0.10666644259862768,0.15513647789918172,0.17244743117746508
GRC,Greece,M,54.4059,1995-01-31,0.10664905983677886,0.15271894050225443,0.17107110509504198
GRC,Greece,M,54.27707,1995-02-28,0.09989993369442063,0.15193258509783458,0.17093229749743966
GRC,Greece,M,55.56192,1995-03-31,0.09878542526134315,0.1499435075873583,0.1701535971172694
GRC,Greece,M,56.15037,1995-04-30,0.09397057657422114,0.14828282273668303,0.1702452573488984
GRC,Greece,M,56.67894,1995-05-31,0.09651738945048516,0.14324165076364181,0.17079361306664542
GRC,Greece,M,56.98605,1995-06-30,0.09481833958397079,0.13867919838286458,0.17058961349742008
GRC,Greece,M,56.0877,1995-07-31,0.08507919139422815,0.13604593929724418,0.17017991656886977
GRC,Greece,M,56.1643,1995-08-31,0.08337929048333037,0.13504175225988568,0.17131455754551062
GRC,Greece,M,57.49163,1995-09-30,0.08029325870270032,0.1318453992894566,0.17007985395941994
GRC,Greece,M,57.92479,1995-10-31,0.0784130617193346,0.1281800473806618,0.16901283699989
GRC,Greece,M,58.15181,1995-11-30,0.07841712209749785,0.12609466964968208,0.16825933163134077
GRC,Greece,M,58.98748,1995-12-31,0.07921056006633242,0.12552581733503154,0.16812726736054628
GRC,Greece,M,58.95754,1996-01-31,0.08366077943752415,0.12538273130674815,0.16809761516561617
GRC,Greece,M,58.86492,1996-02-29,0.08452648604650159,0.12453542524248284,0.16800579483598987
GRC,Greece,M,60.47429,1996-03-31,0.08841253146039585,0.12635644206343866,0.16769701070069742
GRC,Greece,M,61.08921,1996-04-30,0.08795739012939707,0.12086519802740492,0.16782615361014575
GRC,Greece,M,61.60454,1996-05-31,0.08690353065883039,0.12233378406476425,0.16785868850462204
GRC,Greece,M,61.76471,1996-06-30,0.08385666316580997,0.11778865645963754,0.1671052244861837
GRC,Greece,M,60.68739,1996-07-31,0.08200888964960229,0.11505782900264205,0.16744087417463693
GRC,Greece,M,60.64212,1996-08-31,0.07972715764284422,0.11510765137905676,0.16832420380509183
GRC,Greece,M,62.06207,1996-09-30,0.07949748511218058,0.11140217250350548,0.16783634441446393
GRC,Greece,M,62.55164,1996-10-31,0.0798768541068513,0.10898655780258659,0.1673968888825137
GRC,Greece,M,62.51194,1996-11-30,0.0749784056592564,0.10538708185118373,0.16647577063208252
GRC,Greece,M,63.28773,1996-12-31,0.07290106307304534,0.10427848139493556,0.16589432584054564
GRC,Greece,M,62.9444,1997-01-31,0.0676225636279939,0.10281480137808874,0.16557726468105582
GRC,Greece,M,62.72226,1997-02-28,0.06552867140565222,0.10141187756722547,0.16537124446861395
GRC,Greece,M,64.10251,1997-03-31,0.0599960743648249,0.10183823995695396,0.16536822512904892
GRC,Greece,M,64.66938,1997-04-30,0.05860560318262431,0.1004607832860851,0.16463724242315436
GRC,Greece,M,64.94028,1997-05-31,0.054147632625777264,0.1013391044946006,0.16406636569583277
GRC,Greece,M,65.18401,1997-06-30,0.055360091547422385,0.09853517759464747,0.16388162614282042
GRC,Greece,M,63.97159,1997-07-31,0.05411667893445404,0.09859546203006087,0.1631919566164195
GRC,Greece,M,64.02521,1997-08-31,0.05578779237929021,0.09566328094975796,0.1640544340029324
GRC,Greece,M,65.11507,1997-09-30,0.04919268725648385,0.09053360999120663,0.16382004789977178
GRC,Greece,M,65.48695,1997-10-31,0.04692618770666912,0.08665883790461981,0.16256859376284072
GRC,Greece,M,65.7265,1997-11-30,0.0514231361240749,0.0857089057196776,0.16200590373436774
GRC,Greece,M,66.27178,1997-12-31,0.04715052981043888,0.08490875970993339,0.161721477202321
GRC,Greece,M,65.71188,1998-01-31,0.04396705664046352,0.08265244887205436,0.160474947838934
GRC,Greece,M,65.3992,1998-02-28,0.042679265702479485,0.08095981762470572,0.16057375340335556
GRC,Greece,M,67.03503,1998-03-31,0.04574735061076418,0.07845354860068654,0.16051938173538405
GRC,Greece,M,68.1235,1998-04-30,0.05341198570328043,0.07909288658726665,0.16036257103548035
GRC,Greece,M,68.37629,1998-05-31,0.052910304667611374,0.0794085851947508,0.1602182283679272
GRC,Greece,M,68.57059,1998-06-30,0.051954152559807065,0.07762612322962337,0.15931874436264803
GRC,Greece,M,67.23629,1998-07-31,0.05103359163028465,0.07759878757590166,0.15960225462413424
GRC,Greece,M,67.24535,1998-08-31,0.05029487603398719,0.07676063988735748,0.16033505514919422
GRC,Greece,M,68.51696,1998-09-30,0.05224428077862764,0.07539262397917668,0.1599804861031029
GRC,Greece,M,68.55457,1998-10-31,0.04684322601678659,0.07147810691742862,0.1589549946796025
GRC,Greece,M,68.50025,1998-11-30,0.04220139517546184,0.06964693034603031,0.1582153075879933
GRC,Greece,M,68.83591,1998-12-31,0.038691129165385085,0.06865034046991902,0.15747363187707042
GRC,Greece,M,68.14091,1999-01-31,0.036964853235062156,0.06746678352119262,0.1545681003664976
GRC,Greece,M,67.81197,1999-02-28,0.03689295893527755,0.06563537342851866,0.154288784157125
GRC,Greece,M,69.31398,1999-03-31,0.03399640456638853,0.06510223596925613,0.1536400028102487
GRC,Greece,M,70.03502,1999-04-30,0.02805962700096143,0.0641274718087379,0.15330411259945498
GRC,Greece,M,69.99858,1999-05-31,0.023725914348380117,0.06251876002337342,0.15266081832182854
GRC,Greece,M,70.00104,1999-06-30,0.02086098427912031,0.06104939058610337,0.15086306387199744
GRC,Greece,M,68.63875,1999-07-31,0.02085867617026471,0.05835809022223537,0.15002833021182393
